x_m,y_m,static_radius_m_s2,status
-0.16,0.16,0.0,no_static_double_support
-0.14,0.16,0.0,no_static_double_support
-0.12,0.16,0.0,no_static_double_support
-0.1,0.16,0.0,no_static_double_support
-0.08,0.16,0.0,no_static_double_support
-0.06,0.16,0.0,no_static_double_support
-0.04,0.16,0.0,no_static_double_support
-0.02,0.16,0.0,no_static_double_support
0.0,0.16,0.0,no_static_double_support
0.02,0.16,0.0,no_static_double_support
0.04,0.16,0.0,no_static_double_support
0.06,0.16,0.0,no_static_double_support
0.08,0.16,0.0,no_static_double_support
0.1,0.16,0.0,no_static_double_support
0.12,0.16,0.0,no_static_double_support
0.14,0.16,0.0,no_static_double_support
0.16,0.16,0.0,no_static_double_support
0.18,0.16,0.0,no_static_double_support
0.2,0.16,0.0,no_static_double_support
-0.2,0.18,0.0,no_static_double_support
-0.18,0.18,0.0,no_static_double_support
-0.16,0.18,0.0,no_static_double_support
-0.14,0.18,0.0,no_static_double_support
-0.12,0.18,0.0,no_static_double_support
-0.1,0.18,0.0,no_static_double_support
-0.08,0.18,0.0,no_static_double_support
-0.06,0.18,0.0,no_static_double_support
-0.04,0.18,0.0,no_static_double_support
-0.02,0.18,0.0,no_static_double_support
0.0,0.18,0.0,no_static_double_support
0.02,0.18,0.0,no_static_double_support
0.04,0.18,0.0,no_static_double_support
0.06,0.18,0.0,no_static_double_support
0.08,0.18,0.0,no_static_double_support
0.1,0.18,0.0,no_static_double_support
0.12,0.18,0.0,no_static_double_support
0.14,0.18,0.0,no_static_double_support
0.16,0.18,0.0,no_static_double_support
0.18,0.18,0.0,no_static_double_support
0.2,0.18,0.0,no_static_double_support
-0.2,0.2,0.0,no_static_double_support
-0.18,0.2,0.0,no_static_double_support
-0.16,0.2,0.0,no_static_double_support
-0.14,0.2,0.0,no_static_double_support
-0.12,0.2,0.0,no_static_double_support
-0.1,0.2,0.0,no_static_double_support
-0.08,0.2,0.0,no_static_double_support
-0.06,0.2,0.0,no_static_double_support
-0.04,0.2,0.0,no_static_double_support
-0.02,0.2,0.0,no_static_double_support
0.0,0.2,0.0,no_static_double_support
0.02,0.2,0.0,no_static_double_support
0.04,0.2,0.0,no_static_double_support
0.06,0.2,0.0,no_static_double_support
0.08,0.2,0.0,no_static_double_support
0.1,0.2,0.0,no_static_double_support
0.12,0.2,0.0,no_static_double_support
0.14,0.2,0.0,no_static_double_support
0.16,0.2,0.0,no_static_double_support
0.18,0.2,0.0,no_static_double_support
0.2,0.2,0.0,no_static_double_support
